rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,805811,Bryce Eldridge,SF,AZ,2026-08-29T20:05:00Z,Pre-Game,3,Merrill Kelly,518876,R,68.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",70.5,65.2,50.8,96.6,80.0,44.8,50.0,,Yes,No,3,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","platoon edge; pitcher baseline 11.6% barrel, 25.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.04,57.53,93.5,103.3222,0.4827,0.2519,0.3573,73.0,28.71,38.97,37.68,10.5,0.1574,11.61,43.57,90.27,0.5136,0.2251,26.57,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,71,12,67,Oracle Park,,,,,,,,,,,
2,656941,Kyle Schwarber,PHI,STL,2026-08-30T02:07:00Z,Scheduled,1,Ryan Johnson,696270,R,68.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",77.1,47.7,60.2,88.7,80.0,74.5,47.5,68.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 12.4 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.56,53.58,93.18,104.3262,0.5257,0.2833,0.3779,77.16,75.56,54.49,33.25,44.8,0.2971,9.69,37.26,87.89,0.4437,0.1868,33.81,229 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8003&lon=-117.8827,49,0,93,Angel Stadium,,14.1,0.216,94,9,139,25,6,4.88,2,Power volume; less clean pitcher split than Harper
3,646240,Rafael Devers,SF,AZ,2026-08-29T20:05:00Z,Pre-Game,2,Merrill Kelly,518876,R,67.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.1,65.2,50.8,100.0,80.0,83.2,50.0,,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 11.6% barrel, 25.1 HR allowed",EV profile; pitcher fly-ball pressure modest,12.5,52.11,92.94,103.0478,0.459,0.2245,0.3397,71.81,20.3,33.77,33.6,30.8,0.2333,11.61,43.57,90.27,0.5136,0.2251,26.57,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,71,12,67,Oracle Park,,,,,,,,,,,
4,808959,Munetaka Murakami,CWS,MIN,2026-08-29T18:10:00Z,In Progress,2,Bailey Ober,641927,R,66.1,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.3,55.6,36.6,100.0,80.0,7.0,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","platoon edge; pitcher baseline 10.5% barrel, 21.6 HR allowed",lift-pull EV profile; pitcher allows elevated contact,20.0,58.1,94.0,104.5137,0.493,0.277,0.363,74.8,50.7,43.3,37.6,29.0,0.284,10.48,37.28,88.97,0.4655,0.2119,32.32,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=44.9817&lon=-93.2776,57,0,77,Target Field,,,,,,,,,,,
5,621566,Matt Olson,ATL,NYM,2026-08-29T20:10:00Z,Pre-Game,3,Zach Agnos,688642,R,65.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Sheet Consensus",67.4,52.5,51.4,96.6,80.0,32.5,80.6,100.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","platoon edge; pitcher baseline 9.4% barrel, 7.8 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.24,50.99,92.88,103.8247,0.5123,0.2629,0.3607,74.53,47.68,38.42,33.27,34.6,0.2554,9.43,42.56,89.18,0.4792,0.198,31.84,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,77,16,80,Truist Park,,22.7,0.398,96,11,103,37.5,3,3.3,6,Elite LHH power; weather only mild and possible delay
6,670541,Yordan Alvarez,HOU,NYM,2026-08-29T20:10:00Z,Pre-Game,2,Nolan McLean,690997,R,64.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.2,29.5,57.8,100.0,80.0,27.7,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","platoon edge; pitcher baseline 7.1% barrel, 11.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.97,53.25,94.56,104.9919,0.6288,0.3147,0.4364,76.17,61.94,41.09,36.31,27.0,0.2494,7.09,37.87,88.31,0.3458,0.1257,21.91,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.7571&lon=-73.8458,69,9,78,Citi Field,,,,,,,,,,,
7,624413,Pete Alonso,BAL,ATH,2026-08-30T02:05:00Z,Scheduled,2,Jack Perkins,678022,R,63.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",73.1,39.9,52.4,95.5,50.0,85.2,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.1% barrel, 13.1 HR allowed",EV profile; pitcher allows elevated contact,15.47,56.29,93.99,104.2977,0.5566,0.2745,0.3909,74.78,48.79,36.15,30.67,33.8,0.2408,9.11,36.44,87.8,0.3769,0.1489,33.75,234 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.5804&lon=-121.5139,51,8,74,Sutter Health Park,,,,,,,,,,,
8,665833,Oneil Cruz,PIT,STL,2026-08-29T18:15:00Z,In Progress,5,Kyle Leahy,681517,R,62.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",75.4,51.7,32.6,86.4,80.0,32.9,50.0,,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 9.9% barrel, 9.9 HR allowed",EV profile; pitcher fly-ball pressure modest,18.07,57.79,95.87,107.1467,0.474,0.2329,0.3478,78.45,76.73,40.44,24.64,17.9,0.2109,9.87,46.83,90.71,0.4373,0.1684,22.47,In From RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.6226&lon=-90.1928,42,0,81,Busch Stadium,,,,,,,,,,,
9,660271,Shohei Ohtani,LAD,DET,2026-08-29T17:10:00Z,In Progress,1,Keider Montero,672456,R,62.2,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.2,38.6,45.1,93.2,80.0,3.4,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","platoon edge; pitcher baseline 7.6% barrel, 14.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.39,54.22,93.92,104.5399,0.5916,0.3057,0.4103,75.03,53.29,46.35,32.06,37.5,0.2798,7.57,38.07,88.68,0.4033,0.165,25.35,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=42.3390&lon=-83.0485,70,0,70,Comerica Park,,,,,,,,,,,
10,547180,Bryce Harper,PHI,STL,2026-08-30T02:07:00Z,Scheduled,3,Ryan Johnson,696270,R,61.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",52.7,47.7,60.2,92.1,80.0,74.2,62.9,83.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 12.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.67,45.47,90.67,101.9261,0.5018,0.2282,0.3855,74.1,44.8,37.49,27.52,27.0,0.2344,9.69,37.26,87.89,0.4437,0.1868,33.81,229 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8003&lon=-117.8827,49,0,93,Angel Stadium,,16.5,0.424,93,13,118,0,6,4.88,2,Elite hitter/sheet power; pitcher split less targetable
