rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,DET,2026-07-10T22:40:00Z,Scheduled,2,Jack Flaherty,656427,R,70.3,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.0,48.0,51.6,95.5,80.0,60.7,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 12.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.1,55.68,93.74,104.8092,0.5481,0.3001,0.3891,77.16,76.12,55.33,34.65,39.2,0.3216,8.76,46.18,90.4,0.3941,0.1576,29.87,259 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=42.3390&lon=-83.0485,79,31,79,Comerica Park,
2,691718,Pete Crow-Armstrong,CHC,CIN,2026-07-10T23:10:00Z,Scheduled,1,Hunter Greene,668881,R,68.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.5,72.5,60.8,88.7,80.0,100.0,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 11.7% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.63,47.2,90.2,101.8581,0.4827,0.2246,0.3539,74.17,43.97,49.39,34.87,24.0,0.2424,11.66,60.19,92.85,0.5162,0.2165,32.88,198 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,79,0,82,Great American Ball Park,
3,545361,Mike Trout,LAA,MIN,2026-07-11T00:10:00Z,Scheduled,2,Zebby Matthews,805673,R,68.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",74.2,59.0,51.6,95.5,50.0,77.0,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.9% barrel, 12.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,19.58,50.35,91.11,103.7172,0.5398,0.2873,0.3972,74.77,48.99,39.31,34.08,20.4,0.2343,11.93,39.64,90.11,0.4554,0.204,31.37,71 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=44.9817&lon=-93.2776,39,0,84,Target Field,
4,805811,Bryce Eldridge,SF,COL,2026-07-11T02:15:00Z,Scheduled,6,Tanner Gordon,685299,R,66.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",71.8,68.6,44.3,71.7,80.0,56.2,No,Yes,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.5% barrel, 12.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.39,58.44,93.08,103.5513,0.5002,0.261,0.365,73.04,27.6,41.28,36.14,4.9,0.1532,12.48,44.28,91.15,0.4999,0.2293,33.11,282 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,75,0,65,Oracle Park,
5,701398,Sal Stewart,CIN,CHC,2026-07-10T23:10:00Z,Scheduled,2,Shota Imanaga,684007,L,66.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",62.9,53.7,60.8,95.5,78.0,69.1,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 24.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.87,44.52,92.18,101.7902,0.5196,0.2572,0.3665,72.38,28.12,38.71,31.81,14.8,0.2445,10.83,38.25,88.67,0.4221,0.194,34.39,198 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,79,0,82,Great American Ball Park,
6,646240,Rafael Devers,SF,COL,2026-07-11T02:15:00Z,Scheduled,4,Tanner Gordon,685299,R,66.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.0,68.6,44.3,90.4,80.0,79.0,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 12.5% barrel, 12.5 HR allowed",EV profile; pitcher allows elevated contact,13.06,51.97,92.38,102.987,0.4695,0.2343,0.339,71.67,20.78,33.42,33.11,23.1,0.2277,12.48,44.28,91.15,0.4999,0.2293,33.11,282 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,75,0,65,Oracle Park,
7,621566,Matt Olson,ATL,STL,2026-07-11T00:15:00Z,Scheduled,3,Kyle Leahy,681517,R,65.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.0,56.9,39.6,92.1,80.0,78.4,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 7.8 HR allowed",EV profile; pitcher fly-ball pressure modest,14.12,52.18,93.02,104.0424,0.5095,0.258,0.36,74.67,48.51,36.6,32.78,25.5,0.2519,10.85,48.51,90.99,0.4569,0.1824,22.82,135 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.6226&lon=-90.1928,84,6,78,Busch Stadium,
8,665742,Juan Soto,NYM,BOS,2026-07-10T23:15:00Z,Scheduled,2,Sonny Gray,543243,R,65.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",72.9,37.4,46.8,95.5,80.0,87.0,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 14.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.82,50.47,93.03,103.2163,0.6073,0.3077,0.429,72.41,29.28,39.39,32.54,26.9,0.2697,7.77,38.18,89.11,0.3929,0.1488,22.57,182 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.7571&lon=-73.8458,88,18,75,Citi Field,
9,701762,Nick Kurtz,ATH,CWS,2026-07-10T23:40:00Z,Scheduled,2,Sean Burke,680732,R,64.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.6,43.1,49.0,95.5,80.0,23.4,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","platoon edge; pitcher baseline 8.4% barrel, 15.3 HR allowed",EV profile; pitcher allows elevated contact,18.36,56.56,93.68,105.694,0.5097,0.2605,0.379,77.97,78.93,34.18,30.91,24.8,0.2618,8.4,38.36,89.25,0.3982,0.1627,31.19,227 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.8300&lon=-87.6338,74,8,82,Rate Field,
10,673548,Seiya Suzuki,CHC,CIN,2026-07-10T23:10:00Z,Scheduled,3,Hunter Greene,668881,R,62.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Hot Hitter/Streak",46.1,72.5,60.8,92.1,50.0,74.5,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.7% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.56,43.24,89.9,101.2678,0.437,0.1914,0.3324,73.19,34.75,42.25,30.43,19.4,0.2022,11.66,60.19,92.85,0.5162,0.2165,32.88,198 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,79,0,82,Great American Ball Park,
