rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,699013,Esmerlyn Valdez,PIT,WSH,2026-07-03T22:45:00Z,Scheduled,2,Foster Griffin,656492,L,74.2,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",88.5,45.0,58.7,95.5,78.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.0 HR allowed",EV profile; pitcher fly-ball pressure modest,30.3,57.6,92.3,104.2695,0.628,0.371,0.403,75.2,52.1,21.2,42.4,6.0,0.415,10.4,37.4,87.7,0.406,0.168,26.7,223 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.8730&lon=-77.0074,43,0,94,Nationals Park,
2,695578,James Wood,WSH,PIT,2026-07-03T22:45:00Z,Scheduled,1,Mitch Keller,656605,R,68.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.7,39.0,58.7,88.7,80.0,60.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 12.6 HR allowed",EV profile; pitcher fly-ball pressure modest,21.09,58.68,94.86,106.3641,0.563,0.2946,0.4009,76.35,64.8,29.0,26.83,24.7,0.2456,6.75,42.19,89.26,0.4279,0.1521,24.05,223 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.8730&lon=-77.0074,43,0,94,Nationals Park,
3,665742,Juan Soto,NYM,ATL,2026-07-03T23:15:00Z,Scheduled,2,Grant Holmes,656550,R,66.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",73.0,51.9,53.4,95.5,80.0,17.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 14.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.68,51.73,93.24,103.2978,0.6038,0.3042,0.4255,72.48,29.63,39.39,31.91,24.8,0.2613,9.54,43.86,90.8,0.4231,0.1782,26.83,235 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,66,2,84,Truist Park,
4,624413,Pete Alonso,BAL,CIN,2026-07-03T23:10:00Z,Scheduled,4,Brady Singer,663903,R,65.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",69.0,59.0,66.3,90.4,50.0,37.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","same-side matchup; pitcher baseline 10.7% barrel, 19.0 HR allowed",EV profile; pitcher fly-ball pressure modest,14.49,53.98,93.92,103.837,0.5321,0.2619,0.379,74.88,49.48,37.97,30.74,24.7,0.2289,10.73,41.05,91.0,0.465,0.1996,28.68,245 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,50,0,91,Great American Ball Park,
5,660271,Shohei Ohtani,LAD,SD,2026-07-04T02:10:00Z,Scheduled,1,Michael King,650633,R,65.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.3,41.7,52.1,88.7,80.0,39.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,31,1,"Last 7 games: 8/31, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 10.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.53,54.99,93.99,104.3076,0.5888,0.3022,0.4159,74.96,52.24,49.99,31.64,29.1,0.2714,9.72,36.14,87.59,0.42,0.173,25.09,258 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,65,0,74,UNIQLO Field at Dodger Stadium,
6,701762,Nick Kurtz,ATH,MIA,2026-07-04T01:40:00Z,Scheduled,2,Tyler Phillips,663969,R,65.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.3,37.9,59.9,95.5,80.0,18.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 7.3 HR allowed",EV profile; pitcher fly-ball pressure modest,18.64,56.28,93.82,105.7501,0.516,0.2626,0.3846,77.97,78.93,34.53,30.42,24.1,0.2646,7.55,42.14,89.27,0.3924,0.1471,25.45,215 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.5804&lon=-121.5139,31,0,87,Sutter Health Park,
7,701398,Sal Stewart,CIN,BAL,2026-07-03T23:10:00Z,Scheduled,2,Trevor Rogers,669432,L,64.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",63.3,36.9,66.3,95.5,78.0,87.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.0% barrel, 8.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.94,44.66,92.32,101.8145,0.5238,0.2579,0.3693,72.38,27.77,38.71,30.97,12.7,0.2319,7.04,41.54,89.14,0.397,0.1531,24.95,245 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0979&lon=-84.5082,50,0,91,Great American Ball Park,
8,646240,Rafael Devers,SF,COL,2026-07-04T00:10:00Z,Scheduled,4,Ryan Feltner,663372,R,63.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",57.9,40.5,71.2,90.4,80.0,80.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 6.8 HR allowed",EV profile; pitcher fly-ball pressure modest,12.85,52.6,92.59,102.9861,0.4541,0.2238,0.3292,71.6,19.8,32.3,33.11,21.0,0.2193,7.6,39.34,88.67,0.4351,0.1814,26.92,70 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,13,5,90,Coors Field,
9,700250,Ben Rice,NYY,MIN,2026-07-03T23:05:00Z,Scheduled,1,Mike Paredes,702474,R,63.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",61.2,51.4,67.2,88.7,80.0,18.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,25,1,"Last 7 games: 2/25, 1 HR","platoon edge; pitcher baseline 7.1% barrel, 4.0 HR allowed",EV profile; pitcher allows elevated contact,14.49,48.96,92.18,102.355,0.5117,0.2436,0.3735,72.7,26.03,46.08,29.2,23.9,0.2776,7.1,51.8,91.9,0.459,0.174,30.6,225 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,36,0,97,Yankee Stadium,
10,696100,Hunter Goodman,COL,SF,2026-07-04T00:10:00Z,Scheduled,3,,,,63.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",62.1,41.2,71.2,92.1,60.0,73.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,6,Hot streak: 6 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.98,47.11,91.29,103.01,0.473,0.2385,0.3268,75.03,50.75,49.82,32.9,28.2,0.2854,,,,,,,70 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.7559&lon=-104.9942,13,5,90,Coors Field,
