rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,TEX,2026-07-11T00:05:00Z,Pre-Game,2,Cal Quantrill,615698,R,76.1,Tier 2,Best Overall,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.7,53.8,67.6,100.0,80.0,77.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 11.0% barrel, 10.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,17.23,53.18,94.63,105.1361,0.6547,0.3385,0.4455,76.1,61.18,41.02,37.57,22.1,0.2599,10.96,38.28,88.51,0.4729,0.2094,30.41,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7473&lon=-97.0842,32,0,98,Globe Life Field,
2,805811,Bryce Eldridge,SF,COL,2026-07-11T02:15:00Z,Pre-Game,6,Tanner Gordon,685299,R,70.5,Tier 2,Watch List,"Strong Barrel, Platoon Edge",74.1,68.6,57.8,76.2,80.0,60.7,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.5% barrel, 12.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.74,59.14,93.29,103.7735,0.5184,0.2715,0.3762,73.04,27.53,42.19,36.14,5.6,0.1637,12.48,44.28,91.15,0.4999,0.2293,33.11,Out To LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,75,0,65,Oracle Park,
3,646240,Rafael Devers,SF,COL,2026-07-11T02:15:00Z,Pre-Game,4,Tanner Gordon,685299,R,69.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.6,68.6,57.8,94.9,80.0,83.2,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 12.5% barrel, 12.5 HR allowed",EV profile; pitcher allows elevated contact,12.92,51.83,92.38,102.9604,0.4681,0.2329,0.3383,71.67,20.78,33.42,33.11,23.1,0.2277,12.48,44.28,91.15,0.4999,0.2293,33.11,Out To LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,75,0,65,Oracle Park,
4,665742,Juan Soto,NYM,BOS,2026-07-10T23:15:00Z,Warmup,2,Sonny Gray,543243,R,68.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",74.1,37.4,60.3,100.0,80.0,87.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 14.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.1,50.68,93.1,103.2913,0.6143,0.3133,0.4325,72.41,29.21,39.53,32.75,27.6,0.276,7.77,38.18,89.11,0.3929,0.1488,22.57,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.7571&lon=-73.8458,88,18,75,Citi Field,
5,660271,Shohei Ohtani,LAD,AZ,2026-07-11T02:10:00Z,Pre-Game,1,Eduardo Rodriguez,593958,L,67.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",80.3,44.9,66.6,93.2,50.0,52.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.9% barrel, 14.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.6,54.08,93.92,104.2523,0.5888,0.3036,0.4152,75.03,53.36,48.87,32.48,30.5,0.2728,8.9,36.6,88.41,0.4499,0.186,26.77,Out To CF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,58,0,80,UNIQLO Field at Dodger Stadium,
6,665019,Kody Clemens,MIN,LAA,2026-07-11T00:10:00Z,Pre-Game,3,Grayson Rodriguez,680570,R,67.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.8,67.7,51.6,96.6,80.0,88.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 4.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,12.84,47.25,92.41,101.7833,0.4657,0.2104,0.3387,71.99,14.45,43.56,32.48,16.9,0.2399,10.8,51.8,91.7,0.545,0.231,27.7,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=44.9817&lon=-93.2776,39,0,84,Target Field,
7,701538,Jackson Merrill,SD,TOR,2026-07-11T01:40:00Z,Pre-Game,2,Shane Bieber,669456,R,66.9,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",43.4,87.3,55.1,100.0,80.0,43.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","platoon edge; pitcher baseline 15.4% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.48,44.02,89.49,100.2549,0.4326,0.1871,0.3155,73.05,27.67,38.75,27.96,11.8,0.1517,15.38,52.4,93.48,0.6708,0.3307,29.53,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,77,0,71,Petco Park,
8,592518,Manny Machado,SD,TOR,2026-07-11T01:40:00Z,Pre-Game,4,Shane Bieber,669456,R,66.9,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Hot Hitter/Streak",49.6,87.3,55.1,94.9,50.0,71.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 15.4% barrel, 6.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.5,45.9,90.94,101.7939,0.4397,0.1995,0.3298,74.64,44.54,39.73,28.22,21.4,0.2116,15.38,52.4,93.48,0.6708,0.3307,29.53,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,77,0,71,Petco Park,
9,672960,Kazuma Okamoto,TOR,SD,2026-07-11T01:40:00Z,Pre-Game,3,JP Sears,676664,L,65.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.0,64.5,55.1,96.6,78.0,56.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.6% barrel, 11.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.3,47.5,91.3,102.3967,0.451,0.228,0.329,73.2,35.9,51.2,31.3,21.0,0.225,10.59,46.82,90.6,0.4831,0.2176,39.89,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,77,0,71,Petco Park,
10,665487,Fernando Tatis Jr.,SD,TOR,2026-07-11T01:40:00Z,Pre-Game,1,Shane Bieber,669456,R,64.7,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",49.9,87.3,55.1,93.2,50.0,30.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"same-side matchup; pitcher baseline 15.4% barrel, 6.6 HR allowed",EV profile; pitcher fly-ball pressure modest,11.0,52.43,92.25,104.3083,0.446,0.1659,0.3553,75.26,56.49,32.35,21.17,11.0,0.1234,15.38,52.4,93.48,0.6708,0.3307,29.53,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,77,0,71,Petco Park,
