rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,670541,Yordan Alvarez,HOU,PHI,2026-09-08T22:40:00Z,Warmup,2,Andrew Painter,691725,R,66.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.4,36.9,65.8,100.0,80.0,39.5,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,1,"Last 7 games: 6/23, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 17.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.41,53.04,94.49,104.8546,0.6176,0.307,0.4308,76.17,61.94,41.37,36.38,28.4,0.2466,7.7,35.3,87.4,0.411,0.162,26.9,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,42,0,73,Citizens Bank Park,,,,,,,,,,,
2,656941,Kyle Schwarber,PHI,STL,2026-09-08T22:40:00Z,Warmup,1,Hayden Wesneski,669713,R,65.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.4,33.9,65.8,93.2,80.0,68.3,47.5,68.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 3.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.28,53.02,92.97,104.2462,0.5285,0.2847,0.3786,77.23,75.63,54.56,33.18,46.9,0.2978,7.63,39.58,88.23,0.3912,0.1494,23.62,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.9061&lon=-75.1665,42,0,73,Citizens Bank Park,,14.1,0.216,94,9,139,25,6,4.88,2,Power volume; less clean pitcher split than Harper
3,695578,James Wood,WSH,SD,2026-09-09T01:40:00Z,Pre-Game,1,Casey Mize,663554,R,64.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.6,43.0,47.6,93.2,80.0,22.4,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,0,"Last 7 games: 7/26, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 15.4 HR allowed",EV profile; pitcher allows elevated contact,19.48,57.77,95.07,106.3316,0.556,0.2841,0.4016,76.63,67.06,32.22,25.08,30.3,0.2512,8.43,39.56,89.44,0.3861,0.1553,31.16,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,51,3,90,Petco Park,,,,,,,,,,,
4,592450,Aaron Judge,NYY,COL,2026-09-08T23:05:00Z,Pre-Game,3,Gabriel Hughes,687312,R,64.1,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot",90.3,18.0,70.7,96.6,50.0,40.7,50.0,,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","same-side matchup; pitcher baseline 4.8% barrel, 5.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,22.63,57.57,94.49,105.7636,0.6324,0.3537,0.4282,76.34,66.44,41.27,34.06,27.8,0.3066,4.8,28.9,87.6,0.357,0.12,26.5,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,41,0,75,Yankee Stadium,,,,,,,,,,,
5,682985,Riley Greene,DET,MIN,2026-09-08T22:40:00Z,Warmup,4,Dean Kremer,665152,R,62.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.2,46.5,37.6,94.9,80.0,94.7,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.84,47.18,90.25,102.6002,0.5001,0.2438,0.36,75.6,57.66,39.33,33.45,24.1,0.2077,8.84,36.5,88.1,0.4405,0.1966,31.34,In From RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=42.3390&lon=-83.0485,61,0,70,Comerica Park,,,,,,,,,,,
6,691002,Yohandy Morales,WSH,SD,2026-09-09T01:40:00Z,Pre-Game,7,Casey Mize,663554,R,62.2,Tier 3,Watch List,"Elite Power, Strong Barrel",87.1,43.0,47.6,64.3,50.0,62.8,50.0,,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,5,12,1,Contact streak: 5/12 over last 5 games,"same-side matchup; pitcher baseline 8.4% barrel, 15.4 HR allowed",lift-pull EV profile; pitcher allows elevated contact,33.3,83.3,98.5,105.3711,0.591,0.315,0.364,72.5,26.3,50.0,33.3,1.0,0.416,8.43,39.56,89.44,0.3861,0.1553,31.16,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7073&lon=-117.1573,51,3,90,Petco Park,,,,,,,,,,,
7,695600,Carter Jensen,KC,AZ,2026-09-08T23:40:00Z,Pre-Game,1,Corbin Burnes,669203,R,61.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.8,38.1,54.7,93.2,80.0,92.6,50.0,,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 7.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.01,49.13,92.6,103.0452,0.4636,0.2151,0.3476,74.1,39.08,40.93,31.05,16.3,0.222,8.1,41.6,89.5,0.385,0.158,19.1,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0517&lon=-94.4803,59,0,88,Kauffman Stadium,,,,,,,,,,,
8,624413,Pete Alonso,BAL,CLE,2026-09-08T22:35:00Z,Warmup,2,Tanner Bibee,676440,R,61.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",72.1,42.2,49.1,100.0,50.0,32.9,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","same-side matchup; pitcher baseline 8.0% barrel, 26.3 HR allowed",EV profile; pitcher fly-ball pressure modest,15.4,56.22,93.92,104.2527,0.5489,0.2689,0.3902,74.78,48.79,36.43,30.04,34.5,0.2352,7.96,38.42,88.99,0.406,0.1625,27.62,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.2840&lon=-76.6217,57,0,73,Oriole Park at Camden Yards,,,,,,,,,,,
9,682829,Elly De La Cruz,CIN,LAD,2026-09-09T02:10:00Z,Pre-Game,2,Tarik Skubal,669373,L,60.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.1,26.6,71.1,95.5,75.0,100.0,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 7.5% barrel, 13.8 HR allowed",EV profile; pitcher fly-ball pressure modest,13.66,50.08,93.38,104.3903,0.4688,0.1982,0.3542,75.45,54.33,34.12,24.82,23.4,0.2047,7.47,35.38,86.94,0.3412,0.1191,25.55,Out To RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,41,6,89,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
10,665833,Oneil Cruz,PIT,CWS,2026-09-08T23:40:00Z,Pre-Game,4,Sean Burke,680732,R,60.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",70.8,44.7,36.5,94.9,80.0,24.0,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 19.5 HR allowed",EV profile; pitcher allows elevated contact,17.16,55.55,95.24,106.6521,0.4579,0.2217,0.3422,78.24,75.82,40.37,24.01,17.9,0.1976,8.54,39.06,89.32,0.3933,0.162,31.4,In From RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=41.8300&lon=-87.6338,76,0,72,Rate Field,,,,,,,,,,,
