rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,592450,Aaron Judge,NYY,NYM,2026-09-12T17:35:00Z,Pre-Game,2,Zac Thornton,804267,L,69.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",89.6,46.9,54.2,100.0,78.0,12.0,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,22.07,57.64,94.42,105.6911,0.6206,0.345,0.422,76.34,66.58,41.62,34.2,27.8,0.2975,9.0,39.7,88.9,0.451,0.184,28.1,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,40,0,73,Yankee Stadium,,,,,,,,,,,
2,682985,Riley Greene,DET,COL,2026-09-12T17:10:00Z,Pre-Game,4,Tanner Gordon,685299,R,65.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.6,60.0,33.1,94.9,80.0,100.0,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.84,47.25,90.25,102.6361,0.5022,0.2459,0.3614,75.6,57.94,38.84,33.94,24.1,0.2098,10.45,41.83,90.52,0.4789,0.209,33.32,In From RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=42.3390&lon=-83.0485,72,0,67,Comerica Park,,,,,,,,,,,
3,808959,Munetaka Murakami,CWS,STL,2026-09-12T23:15:00Z,Scheduled,3,Kyle Leahy,681517,R,64.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",75.6,52.5,40.1,92.1,80.0,36.7,50.0,,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 11.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.0,56.9,93.8,104.3516,0.455,0.254,0.344,74.8,50.8,45.3,38.8,31.0,0.267,9.94,46.69,90.71,0.4387,0.1698,23.17,60 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.6226&lon=-90.1928,83,12,77,Busch Stadium,,,,,,,,,,,
4,665742,Juan Soto,NYM,NYY,2026-09-12T17:35:00Z,Pre-Game,2,Gerrit Cole,543037,R,64.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",69.9,46.9,54.2,100.0,80.0,30.3,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,1,"Last 7 games: 6/30, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 17.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.26,49.77,92.75,103.0245,0.5863,0.2951,0.4192,72.69,32.19,39.25,32.12,29.7,0.2536,8.7,44.0,90.7,0.393,0.147,27.4,R To L,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,40,0,73,Yankee Stadium,,,,,,,,,,,
5,608369,Corey Seager,TEX,AZ,2026-09-13T00:10:00Z,Scheduled,2,Brandon Pfaadt,694297,R,63.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.0,42.1,60.2,95.5,80.0,73.2,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 16.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.09,49.61,91.99,102.4354,0.5053,0.2462,0.365,71.8,15.09,40.57,31.13,18.2,0.2048,8.52,37.54,88.98,0.4205,0.1645,23.62,275 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.4455&lon=-112.0667,28,1,103,Chase Field,,,,,,,,,,,
6,641343,Jake Bauers,MIL,CIN,2026-09-12T23:10:00Z,Scheduled,2,Brady Singer,663903,R,62.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.8,52.9,46.6,95.5,80.0,56.2,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 24.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,13.77,50.92,92.26,103.0644,0.4724,0.2223,0.3708,76.5,69.51,40.83,30.54,19.6,0.2067,9.47,42.17,90.86,0.4391,0.1751,26.65,139 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=43.0280&lon=-87.9712,68,0,69,American Family Field,,,,,,,,,,,
7,670541,Yordan Alvarez,HOU,TB,2026-09-12T22:10:00Z,Scheduled,2,Ian Seymour,693855,L,62.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",77.7,42.8,49.1,95.5,50.0,28.1,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","same-side matchup; pitcher baseline 9.1% barrel, 16.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.34,52.9,94.35,104.8168,0.6141,0.3049,0.428,76.17,62.08,40.88,35.96,28.4,0.2431,9.13,36.68,88.28,0.3963,0.1684,29.38,79 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=27.7682&lon=-82.6534,75,7,82,Tropicana Field,,,,,,,,,,,
8,805811,Bryce Eldridge,SF,SD,2026-09-12T20:05:00Z,Scheduled,3,Michael King,650633,R,61.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",68.4,41.2,44.3,92.1,80.0,58.0,50.0,,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,1,Contact streak: 10/26 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 16.2 HR allowed",EV profile; pitcher fly-ball pressure modest,15.41,57.39,93.5,103.2925,0.4778,0.2428,0.3594,72.86,28.01,37.15,36.77,11.2,0.1546,9.37,34.53,87.31,0.4081,0.1723,27.96,277 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,75,1,67,Oracle Park,,,,,,,,,,,
9,656941,Kyle Schwarber,PHI,STL,2026-09-12T23:15:00Z,Scheduled,1,Tyler Mahle,641816,R,61.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",75.7,37.8,30.9,88.7,80.0,74.5,47.5,68.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 13.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.14,52.53,92.97,104.1943,0.5243,0.2826,0.3758,77.16,75.42,54.7,33.11,47.6,0.2957,7.09,38.22,89.55,0.4018,0.1495,26.84,,NOAA link only,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,,,,Truist Park,,14.1,0.216,94,9,139,25,6,4.88,2,Power volume; less clean pitcher split than Harper
10,646240,Rafael Devers,SF,SD,2026-09-12T20:05:00Z,Scheduled,2,Michael King,650633,R,61.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.3,41.2,44.3,95.5,80.0,87.0,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 16.2 HR allowed",EV profile; pitcher fly-ball pressure modest,13.41,53.09,93.15,103.333,0.4751,0.235,0.3488,71.81,20.58,34.33,33.67,35.7,0.2529,9.37,34.53,87.31,0.4081,0.1723,27.96,277 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=37.7786&lon=-122.3893,75,1,67,Oracle Park,,,,,,,,,,,
