rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,sheet_score,sheet_carry_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_source,weather_url,weather_humidity,weather_precip_pct,weather_temp,ballpark,odds,sheet_barrel_pct,sheet_iso,sheet_ev,sheet_pm_hr,sheet_pm_pa,sheet_pa_pct,sheet_hr_env,sheet_pitcher_split_barrel,sheet_pitcher_split_hr,sheet_note
1,670541,Yordan Alvarez,HOU,ATH,2026-09-25T01:40:00Z,Scheduled,2,Mason Barnett,686930,R,69.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",78.2,47.1,58.4,95.5,80.0,81.7,50.0,,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 9.3 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.48,53.46,94.42,104.8019,0.6141,0.3049,0.4287,76.1,61.59,41.02,36.1,30.5,0.2487,9.54,39.77,89.34,0.4207,0.1726,31.27,317 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=38.5804&lon=-121.5139,27,0,90,Sutter Health Park,,,,,,,,,,,
2,621566,Matt Olson,ATL,NYM,2026-09-24T23:15:00Z,Pre-Game,3,Brady Singer,663903,R,68.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak, Sheet Consensus",65.5,54.8,52.4,96.6,80.0,75.6,80.6,100.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 27.4 HR allowed",EV profile; pitcher fly-ball pressure modest,14.47,52.25,92.67,103.6905,0.5025,0.2538,0.3558,74.53,47.19,37.51,32.99,37.4,0.2435,9.89,42.31,90.79,0.4489,0.18,26.86,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,81,10,72,Truist Park,,22.7,0.398,96,11,103,37.5,3,3.3,6,Elite LHH power; weather only mild and possible delay
3,665742,Juan Soto,NYM,TEX,2026-09-24T18:35:00Z,In Progress,2,Kumar Rocker,677958,R,67.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",70.5,48.7,58.6,100.0,80.0,66.7,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 17.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.33,50.47,93.03,103.1668,0.5863,0.293,0.4178,72.83,32.47,39.95,31.28,31.8,0.2536,8.93,42.39,89.8,0.4392,0.178,23.7,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7473&lon=-97.0842,48,28,91,Globe Life Field,,,,,,,,,,,
4,660271,Shohei Ohtani,LAD,SD,2026-09-25T02:10:00Z,Scheduled,1,Nick Pivetta,601713,R,63.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.9,43.6,53.1,88.7,80.0,0.0,50.0,,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,0,"Last 7 games: 3/26, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 8.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.25,53.87,93.78,104.4706,0.5832,0.2994,0.4075,75.03,53.01,46.49,31.99,37.5,0.2721,9.57,38.63,89.46,0.3722,0.1568,33.3,272 deg,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=34.0739&lon=-118.2400,67,0,80,UNIQLO Field at Dodger Stadium,,,,,,,,,,,
5,660670,Ronald Acuña Jr.,ATL,CIN,2026-09-24T23:15:00Z,Pre-Game,2,Brady Singer,663903,R,62.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",58.4,54.8,52.4,100.0,50.0,79.0,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.9% barrel, 27.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.67,46.48,90.53,103.0289,0.5063,0.244,0.3767,75.91,61.62,36.44,28.3,20.3,0.2105,9.89,42.31,90.79,0.4489,0.18,26.86,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,81,10,72,Truist Park,,,,,,,,,,,
6,808959,Munetaka Murakami,CWS,KC,2026-09-24T18:10:00Z,In Progress,4,Randy Dobnak,677976,R,61.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",74.8,36.3,34.2,94.9,80.0,54.7,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.2% barrel, 5.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.0,56.0,93.7,104.3227,0.453,0.253,0.346,74.7,49.7,46.8,38.3,33.0,0.265,5.25,44.68,91.39,0.422,0.138,23.18,In From RF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=39.0517&lon=-94.4803,63,0,70,Kauffman Stadium,,,,,,,,,,,
7,686948,Drake Baldwin,ATL,NYM,2026-09-24T23:15:00Z,Pre-Game,1,Brady Singer,663903,R,61.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",55.3,54.8,52.4,93.2,80.0,52.1,37.9,68.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,1,Contact streak: 10/29 over last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 27.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.12,49.88,91.42,102.1289,0.4905,0.2157,0.3621,75.3,56.37,32.29,25.95,22.5,0.1789,9.89,42.31,90.79,0.4489,0.18,26.86,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,81,10,72,Truist Park,,16.4,0.177,93,4,79,0,3,3.3,6,Strong barrel/EV but ISO lower
8,700250,Ben Rice,NYY,TB,2026-09-24T23:05:00Z,Pre-Game,4,Ian Seymour,693855,L,60.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",63.6,44.8,47.2,94.9,50.0,82.7,50.0,,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 19.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.56,50.43,92.25,102.4623,0.525,0.2534,0.3826,72.84,27.45,44.75,31.02,36.5,0.265,9.41,37.45,88.42,0.3966,0.1705,29.45,In From LF,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=40.8296&lon=-73.9262,49,0,62,Yankee Stadium,,,,,,,,,,,
9,608369,Corey Seager,TEX,NYM,2026-09-24T18:35:00Z,In Progress,2,Zac Thornton,804267,L,60.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",60.4,50.5,58.6,100.0,50.0,21.8,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,1,"Last 7 games: 4/28, 1 HR","same-side matchup; pitcher baseline 9.6% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.39,49.4,91.99,102.4683,0.5011,0.2413,0.3622,71.8,15.3,40.99,30.78,18.9,0.1985,9.6,41.4,89.0,0.45,0.184,30.5,None,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=32.7473&lon=-97.0842,48,28,91,Globe Life Field,,,,,,,,,,,
10,682829,Elly De La Cruz,CIN,ATL,2026-09-24T23:15:00Z,Pre-Game,2,Tyler Mahle,641816,R,59.6,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",60.9,34.3,52.4,100.0,75.0,59.6,50.0,,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 6.8% barrel, 14.1 HR allowed",EV profile; pitcher fly-ball pressure modest,14.43,50.92,93.59,104.4967,0.4786,0.2066,0.3591,75.66,56.01,34.89,24.82,26.9,0.2152,6.81,37.31,89.27,0.3941,0.1467,26.7,L To R,Open-Meteo forecast; MLB fallback,https://forecast.weather.gov/MapClick.php?lat=33.8907&lon=-84.4677,81,10,72,Truist Park,,,,,,,,,,,
